gps,date_carnet,heure_carnet,easting,northing,altitude,espece,signe,type,partie_consommee,nid_arboricoles,nid_terrestres,nombre,foret,age_jours,chef_equipe,equipe,famille_gorille,commentaire
90,2024-11-29,9:45,553425,9855243,614 m,Position,Start,,,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
91,2024-11-29,9:51,553364,9855157,608 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
92,2024-11-29,9:59,553450,9855044,612 m,Gorille,Nourriture,Musanga cecropioides,Feuille,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
93,2024-11-29,10:06,553565,9854896,604 m,Gorille,Nourriture,Uapaca benguelensis,Moelle,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
94,2024-11-29,10:11,553523,9854841,604 m,Gorille,Nourriture,Raphia farinifera,Moelle,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
95,2024-11-29,10:25,553501,9854748,606 m,Gorille,Nourriture,Ataenidia conferta,Tige,0,0,0,F.P,3,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
96,2024-11-29,10:37,553564,9854659,609 m,Gorille,Nid,Nuit,,14,3,17,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
97,2024-11-29,10:46,553555,9854586,612 m,Gorille,Nourriture,Aframomum laurentii,Moelle,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
98,2024-11-29,10:56,553639,9854496,605 m,Gorille,Nourriture,Marantochloa congensis,Tige,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
99,2024-11-29,11:07,553819,9854512,610 m,Gorille,Nourriture,Raphia farinifera,Moelle,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
